Time [s],TX
0.000000562,1.587
0.000019762,1.587
0.000038962,1.582
0.000058162,1.587
0.000077362,1.587
0.000096562,1.587
0.000115762,1.587
0.000134962,1.587
0.000154162,1.587
0.000173362,1.587
0.000192562,1.587
0.000211762,1.587
0.000230962,1.587
0.000250162,1.587
0.000269362,1.587
0.000288562,1.582
0.000307762,1.587
0.000326962,1.587
0.000346162,1.587
0.000365362,1.582
0.000384562,1.587
0.000403762,1.582
0.000422962,1.587
0.000442162,1.587
0.000461362,1.587
0.000480562,1.587
0.000499762,1.593
0.000518962,1.587
0.000538162,1.587
0.000557362,1.587
0.000576562,1.587
0.000595762,1.587
0.000614962,1.587
0.000634162,1.587
0.000653362,1.587
0.000672562,1.587
0.000691762,1.587
0.000710962,1.582
0.000730162,1.587
0.000749362,1.587
0.000768562,1.587
0.000787762,1.587
0.000806962,1.587
0.000826162,1.587
0.000845362,1.587
0.000864562,1.587
0.000883762,1.587
0.000902962,1.587
0.000922162,1.587
0.000941362,1.587
0.000960562,1.587
0.000979762,1.587
0.000998962,1.587
0.001018162,1.582
0.001037362,1.587
0.001056562,1.587
0.001075762,1.587
0.001094962,1.587
0.001114162,1.587
0.001133362,1.587
0.001152562,1.582
0.001171762,1.587
0.001190962,1.587
0.001210162,1.587
0.001229362,1.587
0.001248562,1.587
0.001267762,1.587
0.001286962,1.587
0.001306162,1.587
0.001325362,1.587
0.001344562,1.587
0.001363762,1.587
0.001382962,1.587
0.001402162,1.587
0.001421362,1.587
0.001440562,1.587
0.001459762,1.587
0.001478962,1.587
0.001498162,1.587
0.001517362,1.587
0.001536562,1.587
0.001555762,1.587
0.001574962,1.587
0.001594162,1.587
0.001613362,1.587
0.001632562,1.587
0.001651762,1.587
0.001670962,1.587
0.001690162,1.587
0.001709362,1.587
0.001728562,1.593
0.001747762,1.587
0.001766962,1.582
0.001786162,1.587
0.001805362,1.587
0.001824562,1.587
0.001843762,1.587
0.001862962,1.587
0.001882162,1.587
0.001901362,1.587
0.001920562,1.587
0.001939762,1.587
0.001958962,1.587
0.001978162,1.593
0.001997362,1.587
0.002016562,1.582
0.002035762,1.587
0.002054962,1.587
0.002074162,1.587
0.002093362,1.587
0.002112562,1.587
0.002131762,1.587
0.002150962,1.587
0.002170162,1.587
0.002189362,1.587
0.002208562,1.587
0.002227762,1.593
0.002246962,1.587
0.002266162,1.587
0.002285362,1.587
0.002304562,1.587
0.002323762,1.587
0.002342962,1.587
0.002362162,1.587
0.002381362,1.587
0.002400562,1.587
0.002419762,1.587
0.002438962,1.593
0.002458162,1.587
0.002477362,1.587
0.002496562,1.587
0.002515762,1.587
0.002534962,1.582
0.002554162,1.587
0.002573362,1.587
0.002592562,1.587
0.002611762,1.587
0.002630962,1.587
0.002650162,1.587
0.002669362,1.587
0.002688562,1.587
0.002707762,1.587
0.002726962,1.593
0.002746162,1.587
0.002765362,1.587
0.002784562,1.587
0.002803762,1.587
0.002822962,1.587
0.002842162,1.587
0.002861362,1.587
0.002880562,1.587
0.002899762,1.587
0.002918962,1.587
0.002938162,1.587
0.002957362,1.593
0.002976562,1.587
0.002995762,1.587
0.003014962,1.587
0.003034162,1.587
0.003053362,1.587
0.003072562,1.587
0.003091762,1.593
0.003110962,1.587
0.003130162,1.587
0.003149362,1.587
0.003168562,1.587
0.003187762,1.587
0.003206962,1.582
0.003226162,1.587
0.003245362,1.587
0.003264562,1.587
0.003283762,1.587
0.003302962,1.587
0.003322162,1.587
0.003341362,1.587
0.003360562,1.587
0.003379762,1.582
0.003398962,1.587
0.003418162,1.587
0.003437362,1.587
0.003456562,1.587
0.003475762,1.587
0.003494962,1.587
0.003514162,1.587
0.003533362,1.587
0.003552562,1.587
0.003571762,1.587
0.003590962,1.587
0.003610162,1.587
0.003629362,1.587
0.003648562,1.587
0.003667762,1.587
0.003686962,1.587
0.003706162,1.587
0.003725362,1.587
0.003744562,1.587
0.003763762,1.587
0.003782962,1.587
0.003802162,1.582
0.003821362,1.593
0.003840562,1.587
0.003859762,1.587
0.003878962,1.587
0.003898162,1.582
0.003917362,1.593
0.003936562,1.587
0.003955762,1.587
0.003974962,1.582
0.003994162,1.587
0.004013362,1.587
0.004032562,1.587
0.004051762,1.587
0.004070962,1.587
0.004090162,1.587
0.004109362,1.587
0.004128562,1.582
0.004147762,1.587
0.004166962,1.587
0.004186162,1.593
0.004205362,1.587
0.004224562,1.587
0.004243762,1.587
0.004262962,1.587
0.004282162,1.587
0.004301362,1.587
0.004320562,1.587
0.004339762,1.587
0.004358962,1.587
0.004378162,1.587
0.004397362,1.587
0.004416562,1.587
0.004435762,1.587
0.004454962,1.587
0.004474162,1.587
0.004493362,1.587
0.004512562,1.587
0.004531762,1.587
0.004550962,1.587
0.004570162,1.587
0.004589362,1.587
0.004608562,1.587
0.004627762,1.587
0.004646962,1.587
0.004666162,1.587
0.004685362,1.587
0.004704562,1.587
0.004723762,1.587
0.004742962,1.587
0.004762162,1.593
0.004781362,1.587
0.004800562,1.587
0.004819762,1.587
0.004838962,1.587
0.004858162,1.593
0.004877362,1.587
0.004896562,1.587
0.004915762,1.587
0.004934962,1.587
0.004954162,1.587
0.004973362,1.587
0.004992562,1.587
0.005011762,1.587
0.005030962,1.587
0.005050162,1.587
0.005069362,1.587
0.005088562,1.587
0.005107762,1.582
0.005126962,1.587
0.005146162,1.587
0.005165362,1.587
0.005184562,1.587
0.005203762,1.582
0.005222962,1.587
0.005242162,1.587
0.005261362,1.587
0.005280562,1.587
0.005299762,1.587
0.005318962,1.587
0.005338162,1.587
0.005357362,1.587
0.005376562,1.587
0.005395762,1.587
0.005414962,1.587
0.005434162,1.587
0.005453362,1.587
0.005472562,1.587
0.005491762,1.587
0.005510962,1.587
0.005530162,1.587
0.005549362,1.660
0.005568562,1.763
0.005587762,1.768
0.005606962,1.742
0.005626162,1.701
0.005645362,1.649
0.005664562,1.603
0.005683762,1.551
0.005702962,1.500
0.005722162,1.448
0.005741362,1.417
0.005760562,1.402
0.005779762,1.402
0.005798962,1.407
0.005818162,1.433
0.005837362,1.479
0.005856562,1.536
0.005875762,1.587
0.005894962,1.634
0.005914162,1.680
0.005933362,1.732
0.005952562,1.763
0.005971762,1.778
0.005990962,1.773
0.006010162,1.763
0.006029362,1.737
0.006048562,1.691
0.006067762,1.634
0.006086962,1.577
0.006106162,1.525
0.006125362,1.484
0.006144562,1.443
0.006163762,1.412
0.006182962,1.396
0.006202162,1.407
0.006221362,1.422
0.006240562,1.443
0.006259762,1.484
0.006278962,1.541
0.006298162,1.603
0.006317362,1.655
0.006336562,1.701
0.006355762,1.737
0.006374962,1.768
0.006394162,1.778
0.006413362,1.768
0.006432562,1.747
0.006451762,1.716
0.006470962,1.680
0.006490162,1.629
0.006509362,1.567
0.006528562,1.510
0.006547762,1.458
0.006566962,1.427
0.006586162,1.407
0.006605362,1.396
0.006624562,1.402
0.006643762,1.433
0.006662962,1.469
0.006682162,1.510
0.006701362,1.556
0.006720562,1.613
0.006739762,1.670
0.006758962,1.716
0.006778162,1.753
0.006797362,1.773
0.006816562,1.784
0.006835762,1.768
0.006854962,1.742
0.006874162,1.706
0.006893362,1.649
0.006912562,1.608
0.006931762,1.556
0.006950962,1.505
0.006970162,1.453
0.006989362,1.422
