Time [s],TX
-0.000000558,1.587
0.000018642,1.587
0.000037842,1.587
0.000057042,1.587
0.000076242,1.587
0.000095442,1.587
0.000114642,1.582
0.000133842,1.587
0.000153042,1.587
0.000172242,1.587
0.000191442,1.587
0.000210642,1.582
0.000229842,1.587
0.000249042,1.587
0.000268242,1.587
0.000287442,1.587
0.000306642,1.582
0.000325842,1.587
0.000345042,1.587
0.000364242,1.582
0.000383442,1.587
0.000402642,1.587
0.000421842,1.587
0.000441042,1.587
0.000460242,1.587
0.000479442,1.587
0.000498642,1.587
0.000517842,1.582
0.000537042,1.587
0.000556242,1.587
0.000575442,1.587
0.000594642,1.587
0.000613842,1.587
0.000633042,1.587
0.000652242,1.587
0.000671442,1.587
0.000690642,1.587
0.000709842,1.587
0.000729042,1.587
0.000748242,1.582
0.000767442,1.587
0.000786642,1.587
0.000805842,1.587
0.000825042,1.587
0.000844242,1.582
0.000863442,1.587
0.000882642,1.587
0.000901842,1.582
0.000921042,1.593
0.000940242,1.593
0.000959442,1.587
0.000978642,1.587
0.000997842,1.582
0.001017042,1.582
0.001036242,1.587
0.001055442,1.587
0.001074642,1.587
0.001093842,1.582
0.001113042,1.587
0.001132242,1.587
0.001151442,1.582
0.001170642,1.587
0.001189842,1.582
0.001209042,1.587
0.001228242,1.587
0.001247442,1.587
0.001266642,1.582
0.001285842,1.587
0.001305042,1.587
0.001324242,1.587
0.001343442,1.587
0.001362642,1.587
0.001381842,1.593
0.001401042,1.582
0.001420242,1.587
0.001439442,1.587
0.001458642,1.587
0.001477842,1.582
0.001497042,1.587
0.001516242,1.587
0.001535442,1.587
0.001554642,1.587
0.001573842,1.587
0.001593042,1.587
0.001612242,1.587
0.001631442,1.587
0.001650642,1.593
0.001669842,1.587
0.001689042,1.587
0.001708242,1.587
0.001727442,1.587
0.001746642,1.587
0.001765842,1.587
0.001785042,1.587
0.001804242,1.587
0.001823442,1.582
0.001842642,1.587
0.001861842,1.587
0.001881042,1.587
0.001900242,1.587
0.001919442,1.587
0.001938642,1.587
0.001957842,1.587
0.001977042,1.587
0.001996242,1.593
0.002015442,1.587
0.002034642,1.587
0.002053842,1.587
0.002073042,1.587
0.002092242,1.587
0.002111442,1.587
0.002130642,1.587
0.002149842,1.587
0.002169042,1.587
0.002188242,1.587
0.002207442,1.587
0.002226642,1.587
0.002245842,1.587
0.002265042,1.587
0.002284242,1.587
0.002303442,1.587
0.002322642,1.587
0.002341842,1.587
0.002361042,1.587
0.002380242,1.587
0.002399442,1.587
0.002418642,1.587
0.002437842,1.587
0.002457042,1.587
0.002476242,1.587
0.002495442,1.587
0.002514642,1.587
0.002533842,1.593
0.002553042,1.587
0.002572242,1.587
0.002591442,1.593
0.002610642,1.587
0.002629842,1.587
0.002649042,1.587
0.002668242,1.587
0.002687442,1.587
0.002706642,1.587
0.002725842,1.587
0.002745042,1.587
0.002764242,1.587
0.002783442,1.587
0.002802642,1.587
0.002821842,1.587
0.002841042,1.587
0.002860242,1.587
0.002879442,1.587
0.002898642,1.587
0.002917842,1.587
0.002937042,1.587
0.002956242,1.587
0.002975442,1.587
0.002994642,1.587
0.003013842,1.587
0.003033042,1.587
0.003052242,1.582
0.003071442,1.582
0.003090642,1.582
0.003109842,1.587
0.003129042,1.582
0.003148242,1.593
0.003167442,1.587
0.003186642,1.587
0.003205842,1.587
0.003225042,1.587
0.003244242,1.587
0.003263442,1.587
0.003282642,1.587
0.003301842,1.587
0.003321042,1.587
0.003340242,1.587
0.003359442,1.587
0.003378642,1.587
0.003397842,1.587
0.003417042,1.587
0.003436242,1.587
0.003455442,1.587
0.003474642,1.587
0.003493842,1.587
0.003513042,1.582
0.003532242,1.587
0.003551442,1.587
0.003570642,1.587
0.003589842,1.582
0.003609042,1.587
0.003628242,1.587
0.003647442,1.587
0.003666642,1.587
0.003685842,1.587
