Time [s],TX
0.749765682,1.587
0.749784882,1.587
0.749804082,1.587
0.749823282,1.582
0.749842482,1.587
0.749861682,1.587
0.749880882,1.587
0.749900082,1.582
0.749919282,1.587
0.749938482,1.582
0.749957682,1.587
0.749976882,1.587
0.749996082,1.582
0.750015282,1.587
0.750034482,1.587
0.750053682,1.587
0.750072882,1.582
0.750092082,1.587
0.750111282,1.587
0.750130482,1.587
0.750149682,1.582
0.750168882,1.587
0.750188082,1.587
0.750207282,1.587
0.750226482,1.587
0.750245682,1.587
0.750264882,1.587
0.750284082,1.587
0.750303282,1.587
0.750322482,1.587
0.750341682,1.587
0.750360882,1.587
0.750380082,1.587
0.750399282,1.587
0.750418482,1.587
0.750437682,1.587
0.750456882,1.587
0.750476082,1.587
0.750495282,1.587
0.750514482,1.587
0.750533682,1.587
0.750552882,1.587
0.750572082,1.587
0.750591282,1.587
0.750610482,1.587
0.750629682,1.587
0.750648882,1.587
0.750668082,1.587
0.750687282,1.587
0.750706482,1.587
0.750725682,1.587
0.750744882,1.587
0.750764082,1.587
0.750783282,1.587
0.750802482,1.587
0.750821682,1.582
0.750840882,1.587
0.750860082,1.587
0.750879282,1.593
0.750898482,1.587
0.750917682,1.587
0.750936882,1.587
0.750956082,1.587
0.750975282,1.587
0.750994482,1.587
0.751013682,1.593
0.751032882,1.587
0.751052082,1.587
0.751071282,1.582
0.751090482,1.587
0.751109682,1.582
0.751128882,1.587
0.751148082,1.587
0.751167282,1.587
0.751186482,1.582
0.751205682,1.582
0.751224882,1.582
0.751244082,1.587
0.751263282,1.587
0.751282482,1.587
0.751301682,1.587
0.751320882,1.587
0.751340082,1.587
0.751359282,1.587
0.751378482,1.587
0.751397682,1.587
0.751416882,1.593
0.751436082,1.582
0.751455282,1.582
0.751474482,1.587
0.751493682,1.587
0.751512882,1.587
0.751532082,1.587
0.751551282,1.587
0.751570482,1.587
0.751589682,1.587
0.751608882,1.593
0.751628082,1.587
0.751647282,1.587
0.751666482,1.587
0.751685682,1.587
0.751704882,1.587
0.751724082,1.587
0.751743282,1.587
0.751762482,1.587
0.751781682,1.587
